source_location,rack_type,volume,PR_to_EO_sla_range_80,PR_to_EO_accuracy_80,PR_to_EO_sla_range_90,PR_to_EO_accuracy_90,PR_to_EO_default_sla,PR_to_EO_default_accuracy,PR_to_EO_avg_deviation,EO_to_PO_sla_range_80,EO_to_PO_accuracy_80,EO_to_PO_sla_range_90,EO_to_PO_accuracy_90,EO_to_PO_default_sla,EO_to_PO_default_accuracy,EO_to_PO_avg_deviation,PO_to_Ready_sla_range_80,PO_to_Ready_accuracy_80,PO_to_Ready_sla_range_90,PO_to_Ready_accuracy_90,PO_to_Ready_default_sla,PO_to_Ready_default_accuracy,PO_to_Ready_avg_deviation,Ready_to_Picked_sla_range_80,Ready_to_Picked_accuracy_80,Ready_to_Picked_sla_range_90,Ready_to_Picked_accuracy_90,Ready_to_Picked_default_sla,Ready_to_Picked_default_accuracy,Ready_to_Picked_avg_deviation,Picked_to_Delivered_sla_range_80,Picked_to_Delivered_accuracy_80,Picked_to_Delivered_sla_range_90,Picked_to_Delivered_accuracy_90,Picked_to_Delivered_default_sla,Picked_to_Delivered_default_accuracy,Picked_to_Delivered_avg_deviation,Delivered_to_Handoff_sla_range_80,Delivered_to_Handoff_accuracy_80,Delivered_to_Handoff_sla_range_90,Delivered_to_Handoff_accuracy_90,Delivered_to_Handoff_default_sla,Delivered_to_Handoff_default_accuracy,Delivered_to_Handoff_avg_deviation
SYN-BHX,OUT.ATLANTA.19.SKU1002,11,"(0, 0)",0.0,"(0, 0)",0.0,0,36.36363636363637,0.0,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(5.0, 15.0)",81.81818181818183,"(5.0, 17.0)",90.9090909090909,10,45.45454545454545,3.9001424475410014,"(0, 5.0)",81.81818181818183,"(0, 70.0)",90.9090909090909,8,0.0,21.696133808174725,"(0, 0)",0.0,"(0, 0)",0.0,25,0.0,14.024977718342372,"(0, 0)",0.0,"(0, 0)",0.0,8,9.090909090909092,
SYN-BHX,OUT.ATLANTA.19.SKU122,6,"(0, 0)",0.0,"(0, 0)",0.0,12,0.0,16.97056274847714,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(1.0, 17.0)",83.33333333333334,"(0, 0)",0.0,7,50.0,5.932958789676531,"(0, 9.0)",83.33333333333334,"(0, 0)",0.0,3,50.0,3.5637059362410923,"(0, 0)",0.0,"(0, 0)",0.0,62,0.0,13.0,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,
SYN-BHX,OUT.ATLANTA.19.SKU149,8,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(16.0, 20.0)",100.0,"(16.0, 20.0)",100.0,18,100.0,1.9086270308410553,"(0, 0)",0.0,"(0, 0)",0.0,17,37.5,2.3094010767585034,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,
SYN-BHX,OUT.ATLANTA.19.SKU176,10,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(0, 0)",0.0,"(0, 0)",0.0,9,10.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,
SYN-BHX,OUT.ATLANTA.19.SKU235,10,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0.0)",100.0,"(0, 0.0)",100.0,0,100.0,0.0,"(0, 0)",0.0,"(0, 0)",0.0,19,10.0,,"(0, 0)",0.0,"(0, 0)",0.0,15,10.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,
SYN-BHX,OUT.ATLANTA.19.SKU491,10,"(0, 0.0)",90.0,"(0, 0.0)",90.0,1,90.0,3.478505426185217,"(1.0, 2.0)",90.0,"(1.0, 2.0)",90.0,1,100.0,0.6749485577105528,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(11.0, 12.0)",80.0,"(11.0, 13.0)",90.0,12,100.0,0.8755950357709131,"(8.0, 156.0)",100.0,"(8.0, 156.0)",100.0,96,0.0,76.29831802427452
SYN-BHX,S3.SJLB.17,18,"(0, 0)",0.0,"(0, 0)",0.0,38,0.0,63.33508769499995,"(0, 7.0)",83.33333333333334,"(0, 0)",0.0,1,77.77777777777779,3.370830758136635,"(0, 0)",0.0,"(0, 0)",0.0,13,22.22222222222222,26.808334770865812,"(0, 0)",0.0,"(0, 0)",0.0,2,61.111111111111114,3.8323378226368803,"(0, 119.0)",83.33333333333334,"(0, 223.0)",94.44444444444444,52,0.0,74.40761148604908,"(0, 0)",0.0,"(0, 0)",0.0,166,0.0,145.29562340902834
SYN-BHX,STORM.SIREN,114,"(0, 0)",0.0,"(0, 0)",0.0,14,6.140350877192982,27.74801075910264,"(0, 2.0)",84.21052631578947,"(0, 3.0)",90.35087719298247,0,84.21052631578947,1.7539423008360961,"(0, 0)",0.0,"(0, 0)",0.0,18,12.280701754385964,10.985715177924959,"(0, 0)",0.0,"(0, 0)",0.0,0,52.63157894736842,1.3609234644374157,"(0, 0)",0.0,"(0, 0)",0.0,83,0.0,96.68810382675521,"(0, 0)",0.0,"(0, 0)",0.0,120,0.8771929824561403,243.43742881083787
SYN-BHX,TARMAC4,14,"(0, 0)",0.0,"(0, 0)",0.0,20,0.0,31.03195357783881,"(0, 11.0)",85.71428571428571,"(0, 16.0)",100.0,3,7.142857142857142,6.154155212019466,"(3.0, 61.0)",85.71428571428571,"(0, 0)",0.0,24,0.0,17.309132289229886,"(0, 0)",0.0,"(0, 0)",0.0,0,42.857142857142854,0.983192080250175,"(0, 0)",0.0,"(0, 0)",0.0,16,0.0,18.15060452008264,"(0, 0)",0.0,"(0, 0)",0.0,65,0.0,107.93593779027756
SYN-BHX,TW.STELLAR.16,26,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,,"(0, 1.0)",80.76923076923077,"(0, 2.0)",92.3076923076923,0,92.3076923076923,2.0137985538242438,"(0, 0)",0.0,"(0, 0)",0.0,18,38.46153846153847,7.835665946089933,"(0, 0)",0.0,"(0, 0)",0.0,2,53.84615384615385,2.143942916234053,"(0, 0)",0.0,"(0, 0)",0.0,54,0.0,58.63701902382146,"(0, 0)",0.0,"(0, 0)",0.0,0,0.0,
